id;dish_name;calory;proteins;fats;carbo;type;description;coast;restarant_id
1;Big Chicken Snack Box;1369;57;52;109;Snack;Mouth-watering and profitable box with Chicken wings 4 pcs, Strips 4 pcs, Chicken McNuggets™ 4 pcs and 2 medium servings of French fries;14.9;1
2;Snack box with wings;549;28;25;54;Snack;Spicy Chicken Wings 2 pcs. in a crispy breading, juicy strips 2 pcs., delicious Chicken McNuggets™ 2 pcs. and medium French fries;7.9;1
3;Chicken wings 3x;347;19;23;16;Snack;Delicious wings in a crispy breading seasoned with savory spices.;4.2;1
4;Chicken wings 5x;574;32;38;27;Snack;Delicious wings in a crispy breading seasoned with savory spices.;7.2;1
5;"Chicken wings
7x";800;45;52;37;Snack;Delicious wings in a crispy breading seasoned with savory spices.;9.2;1
6;Strips 3x;225;13;11;19;Snack;Juicy, tender chicken made from 100 % white meat in a crispy breading.;4.5;1
7;Strips 5x;375;22;18;31;Snack;Juicy, tender chicken made from 100 % white meat in a crispy breading.;6.5;1
8;Strips 7x;523;30;25;43;Snack;Juicy, tender chicken made from 100 % white meat in a crispy breading.;8.5;1
9;Cheese sticks 3x;383;12;27;24;Snack;Delicious cheese sticks in crispy breading.;4.2;1
10;Cheese sticks 15x;1979;61;139;112;Snack;Delicious cheese sticks in crispy breading.;19.5;1
11;Chicken McNuggets 6x;268;17;14;18;Snack;Crispy coated chicken roasted in vegetable oil. Ideal for dipping into mustard, sour-sweet, barbeque sauce.;5.3;1
12;Chicken McNuggets 18x;894;56;47;60;Snack;Crispy coated chicken roasted in vegetable oil. Ideal for dipping into mustard, sour-sweet, barbeque sauce.;11.7;1
13;Big Mac Bacon;580;24;29;42;Burger;A big sandwich with two 100% beef patties on a special Big MacTM  bun, seasoned with lettuce, onions, two slices of pickled cucumbers, Cheddar cheese and our unbeatable Big MacTM sauce complemented by a rich taste and aroma of bacon.;6.9;1
14;Big Tasty Roll;516;23;31;36;Roll;Two Juicy 100 % beef steaks, fresh vegetables, cheese, special Big Tasty smoky sauce, all this in a wheat cake.;7.8;1
15;McChicken Premier;530;19;31;45;Burger;Crispy chicken fillet, Cheddar cheese, flavored bacon, tomato slice, fresh salad, ketchup, special Dijon sauce and sesame seed bun;6.7;1
16;Big Tasty;702;31;47;39;Burger;A burger with one big 100% beef patty on a big bun sprinkled with sesame seeds. Big Tasty owes its delightful taste to 3 pieces of Emmental cheese, 2 slices of fresh tomato, lettuce, onion and spicy Grill sauce.;9.3;1
17;Triple Cheeseburger;598;38;36;30;Burger;Three chopped steaks from natural beef with three slices of Сheddar cheese on a bun, seasoned with mustard, ketchup, onions and two pieces of pickled cucumber.;7;1
18;Big Mac;509;27;26;42;Burger;A big sandwich with two 100% beef patties on a special Big MacTM  bun, seasoned with lettuce, onions, two slices of pickled cucumbers, Cheddar cheese and our unbeatable Big MacTM sauce;6;1
19;Royal;597;36;32;39;Burger;Lush bun with sesame, with a big juicy beefsteak made from 100% beef, two slices of fragrant Cheddar cheese, onions, pickled cucumbers, with the addition of savory mustard and sweet ketchup. This is what we call “Royal”!;6.1;1
20;Big Tasty with chicken;838;34;48;66;Burger;A sandwich with one tender chicken patty on a big bun sprinkled with sesame seeds. Big Tasty owes its delightful taste to 3 pieces of Emmental cheese, 2 slices of fresh tomato, lettuce, onion and spicy Grill sauce.;9.3;1
21;Caesar Roll;537;17;34;41;Roll;"2  Strips in a crispy breading,  slice of tomato, lettuce and slices of hard cheese, dressed with a special sauce and wrapped in a wheat tortilla""";7.2;1
22;McChicken;365;13;17;40;Burger;Roasted chicken patty served on a caramelized bun, seasoned with fresh lettuce and special sauce;5.5;1
23;Chickenburger;295;9.4;14;32;Burger;Crispy coated chicken served on a caramelized bun, seasoned with fresh lettuce and special McChickenTM sauce.;2.5;1
24;Cheeseburger;304;16;13;30;Burger;100% beef patty with Cheddar cheese, seasoned with mustard, ketchup, onion and a slice of pickled cucumber.;2.5;1
25;Hamburger;254;13;8.8;30;Burger;100% beef sausage on a caramelized bun, seasoned with mustard, ketchup, onion and a slice of pickled cucumber.;2.3;1
